"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","322","deve cadastrar um usuário com sucesso","Usuário - API","Mon Apr 14 22:05:57 BRT 2025","passed","Mon Apr 14 22:05:57 BRT 2025","","","",""
"","12052","deve cadastrar produto com sucesso","Cadastro de produto","Mon Apr 14 22:06:35 BRT 2025","passed","Mon Apr 14 22:06:47 BRT 2025","","","",""
"","15659","deve direcionar usuário cadastrado para Home","Cadastro de usuário","Mon Apr 14 22:07:55 BRT 2025","passed","Mon Apr 14 22:08:11 BRT 2025","","","",""
"","27648","deve add vários produtos na lista de compras","Lista de compras","Mon Apr 14 22:06:03 BRT 2025","passed","Mon Apr 14 22:06:30 BRT 2025","","","",""
"","13532","deve cadastrar usuário com mesmos dados","Cadastro de usuário","Mon Apr 14 22:07:34 BRT 2025","passed","Mon Apr 14 22:07:48 BRT 2025","","","",""
"","28775","deve cadastrar produto com mesmo nome após correção","Cadastro de produto","Mon Apr 14 22:06:48 BRT 2025","failed","Mon Apr 14 22:07:16 BRT 2025","","","",""
"","3686","deve cadastrar usuário sem nome","Cadastro de usuário","Mon Apr 14 22:07:52 BRT 2025","passed","Mon Apr 14 22:07:55 BRT 2025","","","",""
"","10682","deve direcionar usuário Adm cadastrado para Home","Cadastro de usuário","Mon Apr 14 22:08:11 BRT 2025","passed","Mon Apr 14 22:08:22 BRT 2025","","","",""
"","3725","deve cadastrar usuário sem email","Cadastro de usuário","Mon Apr 14 22:07:48 BRT 2025","passed","Mon Apr 14 22:07:52 BRT 2025","","","",""
"","1313","deve cadastrar produto com sucesso","Usuário - API","Mon Apr 14 22:05:51 BRT 2025","passed","Mon Apr 14 22:05:52 BRT 2025","","","",""
"","5048","deve cadastrar usuário Adm com sucesso","Cadastro de usuário","Mon Apr 14 22:07:24 BRT 2025","passed","Mon Apr 14 22:07:29 BRT 2025","","","",""
"","514","deve fazer login com sucesso","Usuário - API","Mon Apr 14 22:05:57 BRT 2025","passed","Mon Apr 14 22:05:57 BRT 2025","","","",""
"","4857","deve cadastrar usuário com sucesso","Cadastro de usuário","Mon Apr 14 22:07:29 BRT 2025","passed","Mon Apr 14 22:07:34 BRT 2025","","","",""
"","2982","deve estar na tela de cadastro","Cadastro de usuário","Mon Apr 14 22:07:21 BRT 2025","passed","Mon Apr 14 22:07:24 BRT 2025","","","",""
